timestamp,portfolio_value,funding_pnl,trading_pnl_realized,trading_pnl_unrealized,trading_pnl_total,trading_costs,period_return,cumulative_return,num_active_positions,cum_funding_pnl,cum_trading_pnl,cum_trading_costs,peak,drawdown
2025-04-07 09:00:00+00:00,1732.9580555753014,0.0,0.0,0.0,384.37769323124485,0.0,0.0,0.7329580555753015,0,417.1414122780173,384.37769323124485,-68.56104993396082,1763.2190410111637,-0.017162351773667508
2025-04-07 10:00:00+00:00,1732.9580555753014,0.0,0.0,0.0,384.37769323124485,0.0,0.0,0.7329580555753015,0,417.1414122780173,384.37769323124485,-68.56104993396082,1763.2190410111637,-0.017162351773667508
2025-04-07 11:00:00+00:00,1732.9580555753014,0.0,0.0,0.0,384.37769323124485,0.0,0.0,0.7329580555753015,0,417.1414122780173,384.37769323124485,-68.56104993396082,1763.2190410111637,-0.017162351773667508
2025-04-07 12:00:00+00:00,1732.9580555753014,0.0,0.0,0.0,384.37769323124485,0.0,0.0,0.7329580555753015,0,417.1414122780173,384.37769323124485,-68.56104993396082,1763.2190410111637,-0.017162351773667508
2025-04-07 13:00:00+00:00,1732.9580555753014,0.0,0.0,0.0,384.37769323124485,0.0,0.0,0.7329580555753015,0,417.1414122780173,384.37769323124485,-68.56104993396082,1763.2190410111637,-0.017162351773667508
2025-04-07 14:00:00+00:00,1732.9580555753014,0.0,0.0,0.0,384.37769323124485,0.0,0.0,0.7329580555753015,0,417.1414122780173,384.37769323124485,-68.56104993396082,1763.2190410111637,-0.017162351773667508
2025-04-07 15:00:00+00:00,1732.9580555753014,0.0,0.0,0.0,384.37769323124485,0.0,0.0,0.7329580555753015,0,417.1414122780173,384.37769323124485,-68.56104993396082,1763.2190410111637,-0.017162351773667508
2025-04-07 16:00:00+00:00,1732.9580555753014,0.0,0.0,0.0,384.37769323124485,0.0,0.0,0.7329580555753015,0,417.1414122780173,384.37769323124485,-68.56104993396082,1763.2190410111637,-0.017162351773667508
2025-04-07 17:00:00+00:00,1732.9580555753014,0.0,0.0,0.0,384.37769323124485,0.0,0.0,0.7329580555753015,0,417.1414122780173,384.37769323124485,-68.56104993396082,1763.2190410111637,-0.017162351773667508
2025-04-07 18:00:00+00:00,1732.9580555753014,0.0,0.0,0.0,384.37769323124485,0.0,0.0,0.7329580555753015,0,417.1414122780173,384.37769323124485,-68.56104993396082,1763.2190410111637,-0.017162351773667508
2025-04-07 19:00:00+00:00,1732.9580555753014,0.0,0.0,0.0,384.37769323124485,0.0,0.0,0.7329580555753015,0,417.1414122780173,384.37769323124485,-68.56104993396082,1763.2190410111637,-0.017162351773667508
2025-04-07 20:00:00+00:00,1732.9580555753014,0.0,0.0,0.0,384.37769323124485,0.0,0.0,0.7329580555753015,0,417.1414122780173,384.37769323124485,-68.56104993396082,1763.2190410111637,-0.017162351773667508
2025-04-07 21:00:00+00:00,1732.9580555753014,0.0,0.0,0.0,384.37769323124485,0.0,0.0,0.7329580555753015,0,417.1414122780173,384.37769323124485,-68.56104993396082,1763.2190410111637,-0.017162351773667508
2025-04-07 22:00:00+00:00,1732.9580555753014,0.0,0.0,0.0,384.37769323124485,0.0,0.0,0.7329580555753015,0,417.1414122780173,384.37769323124485,-68.56104993396082,1763.2190410111637,-0.017162351773667508
2025-04-07 23:00:00+00:00,1732.9580555753014,0.0,0.0,0.0,384.37769323124485,0.0,0.0,0.7329580555753015,0,417.1414122780173,384.37769323124485,-68.56104993396082,1763.2190410111637,-0.017162351773667508
2025-04-08 00:00:00+00:00,1732.9580555753014,0.0,0.0,0.0,384.37769323124485,0.0,0.0,0.7329580555753015,0,417.1414122780173,384.37769323124485,-68.56104993396082,1763.2190410111637,-0.017162351773667508
2025-04-08 01:00:00+00:00,1732.9580555753014,0.0,0.0,0.0,384.37769323124485,0.0,0.0,0.7329580555753015,0,417.1414122780173,384.37769323124485,-68.56104993396082,1763.2190410111637,-0.017162351773667508
2025-04-08 02:00:00+00:00,1732.9580555753014,0.0,0.0,0.0,384.37769323124485,0.0,0.0,0.7329580555753015,0,417.1414122780173,384.37769323124485,-68.56104993396082,1763.2190410111637,-0.017162351773667508
2025-04-08 03:00:00+00:00,1732.9580555753014,0.0,0.0,0.0,384.37769323124485,0.0,0.0,0.7329580555753015,0,417.1414122780173,384.37769323124485,-68.56104993396082,1763.2190410111637,-0.017162351773667508
2025-04-08 04:00:00+00:00,1732.9580555753014,0.0,0.0,0.0,384.37769323124485,0.0,0.0,0.7329580555753015,0,417.1414122780173,384.37769323124485,-68.56104993396082,1763.2190410111637,-0.017162351773667508
2025-04-08 05:00:00+00:00,1732.9580555753014,0.0,0.0,0.0,384.37769323124485,0.0,0.0,0.7329580555753015,0,417.1414122780173,384.37769323124485,-68.56104993396082,1763.2190410111637,-0.017162351773667508
2025-04-08 06:00:00+00:00,1732.9580555753014,0.0,0.0,0.0,384.37769323124485,0.0,0.0,0.7329580555753015,0,417.1414122780173,384.37769323124485,-68.56104993396082,1763.2190410111637,-0.017162351773667508
2025-04-08 07:00:00+00:00,1732.9580555753014,0.0,0.0,0.0,384.37769323124485,0.0,0.0,0.7329580555753015,0,417.1414122780173,384.37769323124485,-68.56104993396082,1763.2190410111637,-0.017162351773667508
2025-04-08 08:00:00+00:00,1732.9580555753014,0.0,0.0,0.0,384.37769323124485,0.0,0.0,0.7329580555753015,0,417.1414122780173,384.37769323124485,-68.56104993396082,1763.2190410111637,-0.017162351773667508
2025-04-08 09:00:00+00:00,1732.9580555753014,0.0,0.0,0.0,384.37769323124485,0.0,0.0,0.7329580555753015,0,417.1414122780173,384.37769323124485,-68.56104993396082,1763.2190410111637,-0.017162351773667508
2025-04-08 10:00:00+00:00,1732.9580555753014,0.0,0.0,0.0,384.37769323124485,0.0,0.0,0.7329580555753015,0,417.1414122780173,384.37769323124485,-68.56104993396082,1763.2190410111637,-0.017162351773667508
2025-04-08 11:00:00+00:00,1732.9580555753014,0.0,0.0,0.0,384.37769323124485,0.0,0.0,0.7329580555753015,0,417.1414122780173,384.37769323124485,-68.56104993396082,1763.2190410111637,-0.017162351773667508
2025-04-08 12:00:00+00:00,1732.9580555753014,0.0,0.0,0.0,384.37769323124485,0.0,0.0,0.7329580555753015,0,417.1414122780173,384.37769323124485,-68.56104993396082,1763.2190410111637,-0.017162351773667508
2025-04-08 13:00:00+00:00,1732.9580555753014,0.0,0.0,0.0,384.37769323124485,0.0,0.0,0.7329580555753015,0,417.1414122780173,384.37769323124485,-68.56104993396082,1763.2190410111637,-0.017162351773667508
2025-04-08 14:00:00+00:00,1732.9580555753014,0.0,0.0,0.0,384.37769323124485,0.0,0.0,0.7329580555753015,0,417.1414122780173,384.37769323124485,-68.56104993396082,1763.2190410111637,-0.017162351773667508
2025-04-08 15:00:00+00:00,1732.9580555753014,0.0,0.0,0.0,384.37769323124485,0.0,0.0,0.7329580555753015,0,417.1414122780173,384.37769323124485,-68.56104993396082,1763.2190410111637,-0.017162351773667508
2025-04-08 16:00:00+00:00,1732.9580555753014,0.0,0.0,0.0,384.37769323124485,0.0,0.0,0.7329580555753015,0,417.1414122780173,384.37769323124485,-68.56104993396082,1763.2190410111637,-0.017162351773667508
2025-04-08 17:00:00+00:00,1732.9580555753014,0.0,0.0,0.0,384.37769323124485,0.0,0.0,0.7329580555753015,0,417.1414122780173,384.37769323124485,-68.56104993396082,1763.2190410111637,-0.017162351773667508
2025-04-08 18:00:00+00:00,1732.9580555753014,0.0,0.0,0.0,384.37769323124485,0.0,0.0,0.7329580555753015,0,417.1414122780173,384.37769323124485,-68.56104993396082,1763.2190410111637,-0.017162351773667508
2025-04-08 19:00:00+00:00,1732.9580555753014,0.0,0.0,0.0,384.37769323124485,0.0,0.0,0.7329580555753015,0,417.1414122780173,384.37769323124485,-68.56104993396082,1763.2190410111637,-0.017162351773667508
2025-04-08 20:00:00+00:00,1732.9580555753014,0.0,0.0,0.0,384.37769323124485,0.0,0.0,0.7329580555753015,0,417.1414122780173,384.37769323124485,-68.56104993396082,1763.2190410111637,-0.017162351773667508
2025-04-08 21:00:00+00:00,1732.9580555753014,0.0,0.0,0.0,384.37769323124485,0.0,0.0,0.7329580555753015,0,417.1414122780173,384.37769323124485,-68.56104993396082,1763.2190410111637,-0.017162351773667508
2025-04-08 22:00:00+00:00,1732.9580555753014,0.0,0.0,0.0,384.37769323124485,0.0,0.0,0.7329580555753015,0,417.1414122780173,384.37769323124485,-68.56104993396082,1763.2190410111637,-0.017162351773667508
2025-04-08 23:00:00+00:00,1732.9580555753014,0.0,0.0,0.0,384.37769323124485,0.0,0.0,0.7329580555753015,0,417.1414122780173,384.37769323124485,-68.56104993396082,1763.2190410111637,-0.017162351773667508
2025-04-09 00:00:00+00:00,1732.9580555753014,0.0,0.0,0.0,384.37769323124485,0.0,0.0,0.7329580555753015,0,417.1414122780173,384.37769323124485,-68.56104993396082,1763.2190410111637,-0.017162351773667508
2025-04-09 01:00:00+00:00,1732.9580555753014,0.0,0.0,0.0,384.37769323124485,0.0,0.0,0.7329580555753015,0,417.1414122780173,384.37769323124485,-68.56104993396082,1763.2190410111637,-0.017162351773667508
2025-04-09 02:00:00+00:00,1732.9580555753014,0.0,0.0,0.0,384.37769323124485,0.0,0.0,0.7329580555753015,0,417.1414122780173,384.37769323124485,-68.56104993396082,1763.2190410111637,-0.017162351773667508
2025-04-09 03:00:00+00:00,1732.9580555753014,0.0,0.0,0.0,384.37769323124485,0.0,0.0,0.7329580555753015,0,417.1414122780173,384.37769323124485,-68.56104993396082,1763.2190410111637,-0.017162351773667508
2025-04-09 04:00:00+00:00,1732.9580555753014,0.0,0.0,0.0,384.37769323124485,0.0,0.0,0.7329580555753015,0,417.1414122780173,384.37769323124485,-68.56104993396082,1763.2190410111637,-0.017162351773667508
2025-04-09 05:00:00+00:00,1732.9580555753014,0.0,0.0,0.0,384.37769323124485,0.0,0.0,0.7329580555753015,0,417.1414122780173,384.37769323124485,-68.56104993396082,1763.2190410111637,-0.017162351773667508
2025-04-09 06:00:00+00:00,1732.9580555753014,0.0,0.0,0.0,384.37769323124485,0.0,0.0,0.7329580555753015,0,417.1414122780173,384.37769323124485,-68.56104993396082,1763.2190410111637,-0.017162351773667508
2025-04-09 07:00:00+00:00,1732.9580555753014,0.0,0.0,0.0,384.37769323124485,0.0,0.0,0.7329580555753015,0,417.1414122780173,384.37769323124485,-68.56104993396082,1763.2190410111637,-0.017162351773667508
2025-04-09 08:00:00+00:00,1732.9580555753014,0.0,0.0,0.0,384.37769323124485,0.0,0.0,0.7329580555753015,0,417.1414122780173,384.37769323124485,-68.56104993396082,1763.2190410111637,-0.017162351773667508
2025-04-09 09:00:00+00:00,1732.9580555753014,0.0,0.0,0.0,384.37769323124485,0.0,0.0,0.7329580555753015,0,417.1414122780173,384.37769323124485,-68.56104993396082,1763.2190410111637,-0.017162351773667508
2025-04-09 10:00:00+00:00,1732.9580555753014,0.0,0.0,0.0,384.37769323124485,0.0,0.0,0.7329580555753015,0,417.1414122780173,384.37769323124485,-68.56104993396082,1763.2190410111637,-0.017162351773667508
2025-04-09 11:00:00+00:00,1732.9580555753014,0.0,0.0,0.0,384.37769323124485,0.0,0.0,0.7329580555753015,0,417.1414122780173,384.37769323124485,-68.56104993396082,1763.2190410111637,-0.017162351773667508
2025-04-09 12:00:00+00:00,1732.9580555753014,0.0,0.0,0.0,384.37769323124485,0.0,0.0,0.7329580555753015,0,417.1414122780173,384.37769323124485,-68.56104993396082,1763.2190410111637,-0.017162351773667508
2025-04-09 13:00:00+00:00,1732.9580555753014,0.0,0.0,0.0,384.37769323124485,0.0,0.0,0.7329580555753015,0,417.1414122780173,384.37769323124485,-68.56104993396082,1763.2190410111637,-0.017162351773667508
2025-04-09 14:00:00+00:00,1732.9580555753014,0.0,0.0,0.0,384.37769323124485,0.0,0.0,0.7329580555753015,0,417.1414122780173,384.37769323124485,-68.56104993396082,1763.2190410111637,-0.017162351773667508
2025-04-09 15:00:00+00:00,1732.9580555753014,0.0,0.0,0.0,384.37769323124485,0.0,0.0,0.7329580555753015,0,417.1414122780173,384.37769323124485,-68.56104993396082,1763.2190410111637,-0.017162351773667508
2025-04-09 16:00:00+00:00,1732.9580555753014,0.0,0.0,0.0,384.37769323124485,0.0,0.0,0.7329580555753015,0,417.1414122780173,384.37769323124485,-68.56104993396082,1763.2190410111637,-0.017162351773667508
2025-04-09 17:00:00+00:00,1732.9580555753014,0.0,0.0,0.0,384.37769323124485,0.0,0.0,0.7329580555753015,0,417.1414122780173,384.37769323124485,-68.56104993396082,1763.2190410111637,-0.017162351773667508
2025-04-09 18:00:00+00:00,1732.9580555753014,0.0,0.0,0.0,384.37769323124485,0.0,0.0,0.7329580555753015,0,417.1414122780173,384.37769323124485,-68.56104993396082,1763.2190410111637,-0.017162351773667508
2025-04-09 19:00:00+00:00,1732.9580555753014,0.0,0.0,0.0,384.37769323124485,0.0,0.0,0.7329580555753015,0,417.1414122780173,384.37769323124485,-68.56104993396082,1763.2190410111637,-0.017162351773667508
2025-04-09 20:00:00+00:00,1732.9580555753014,0.0,0.0,0.0,384.37769323124485,0.0,0.0,0.7329580555753015,0,417.1414122780173,384.37769323124485,-68.56104993396082,1763.2190410111637,-0.017162351773667508
2025-04-09 21:00:00+00:00,1732.9580555753014,0.0,0.0,0.0,384.37769323124485,0.0,0.0,0.7329580555753015,0,417.1414122780173,384.37769323124485,-68.56104993396082,1763.2190410111637,-0.017162351773667508
2025-04-09 22:00:00+00:00,1732.9580555753014,0.0,0.0,0.0,384.37769323124485,0.0,0.0,0.7329580555753015,0,417.1414122780173,384.37769323124485,-68.56104993396082,1763.2190410111637,-0.017162351773667508
2025-04-09 23:00:00+00:00,1732.9580555753014,0.0,0.0,0.0,384.37769323124485,0.0,0.0,0.7329580555753015,0,417.1414122780173,384.37769323124485,-68.56104993396082,1763.2190410111637,-0.017162351773667508
2025-04-10 00:00:00+00:00,1732.9580555753014,0.0,0.0,0.0,384.37769323124485,0.0,0.0,0.7329580555753015,0,417.1414122780173,384.37769323124485,-68.56104993396082,1763.2190410111637,-0.017162351773667508
2025-04-10 01:00:00+00:00,1732.9580555753014,0.0,0.0,0.0,384.37769323124485,0.0,0.0,0.7329580555753015,0,417.1414122780173,384.37769323124485,-68.56104993396082,1763.2190410111637,-0.017162351773667508
2025-04-10 02:00:00+00:00,1732.9580555753014,0.0,0.0,0.0,384.37769323124485,0.0,0.0,0.7329580555753015,0,417.1414122780173,384.37769323124485,-68.56104993396082,1763.2190410111637,-0.017162351773667508
2025-04-10 03:00:00+00:00,1732.9580555753014,0.0,0.0,0.0,384.37769323124485,0.0,0.0,0.7329580555753015,0,417.1414122780173,384.37769323124485,-68.56104993396082,1763.2190410111637,-0.017162351773667508
2025-04-10 04:00:00+00:00,1732.9580555753014,0.0,0.0,0.0,384.37769323124485,0.0,0.0,0.7329580555753015,0,417.1414122780173,384.37769323124485,-68.56104993396082,1763.2190410111637,-0.017162351773667508
2025-04-10 05:00:00+00:00,1732.9580555753014,0.0,0.0,0.0,384.37769323124485,0.0,0.0,0.7329580555753015,0,417.1414122780173,384.37769323124485,-68.56104993396082,1763.2190410111637,-0.017162351773667508
2025-04-10 06:00:00+00:00,1732.9580555753014,0.0,0.0,0.0,384.37769323124485,0.0,0.0,0.7329580555753015,0,417.1414122780173,384.37769323124485,-68.56104993396082,1763.2190410111637,-0.017162351773667508
2025-04-10 07:00:00+00:00,1732.9580555753014,0.0,0.0,0.0,384.37769323124485,0.0,0.0,0.7329580555753015,0,417.1414122780173,384.37769323124485,-68.56104993396082,1763.2190410111637,-0.017162351773667508
2025-04-10 08:00:00+00:00,1732.9580555753014,0.0,0.0,0.0,384.37769323124485,0.0,0.0,0.7329580555753015,0,417.1414122780173,384.37769323124485,-68.56104993396082,1763.2190410111637,-0.017162351773667508
2025-04-10 09:00:00+00:00,1732.9580555753014,0.0,0.0,0.0,384.37769323124485,0.0,0.0,0.7329580555753015,0,417.1414122780173,384.37769323124485,-68.56104993396082,1763.2190410111637,-0.017162351773667508
2025-04-10 10:00:00+00:00,1732.9580555753014,0.0,0.0,0.0,384.37769323124485,0.0,0.0,0.7329580555753015,0,417.1414122780173,384.37769323124485,-68.56104993396082,1763.2190410111637,-0.017162351773667508
2025-04-10 11:00:00+00:00,1732.9580555753014,0.0,0.0,0.0,384.37769323124485,0.0,0.0,0.7329580555753015,0,417.1414122780173,384.37769323124485,-68.56104993396082,1763.2190410111637,-0.017162351773667508
2025-04-10 12:00:00+00:00,1732.9580555753014,0.0,0.0,0.0,384.37769323124485,0.0,0.0,0.7329580555753015,0,417.1414122780173,384.37769323124485,-68.56104993396082,1763.2190410111637,-0.017162351773667508
2025-04-10 13:00:00+00:00,1732.9580555753014,0.0,0.0,0.0,384.37769323124485,0.0,0.0,0.7329580555753015,0,417.1414122780173,384.37769323124485,-68.56104993396082,1763.2190410111637,-0.017162351773667508
2025-04-10 14:00:00+00:00,1732.9580555753014,0.0,0.0,0.0,384.37769323124485,0.0,0.0,0.7329580555753015,0,417.1414122780173,384.37769323124485,-68.56104993396082,1763.2190410111637,-0.017162351773667508
2025-04-10 15:00:00+00:00,1732.9580555753014,0.0,0.0,0.0,384.37769323124485,0.0,0.0,0.7329580555753015,0,417.1414122780173,384.37769323124485,-68.56104993396082,1763.2190410111637,-0.017162351773667508
2025-04-10 16:00:00+00:00,1732.9580555753014,0.0,0.0,0.0,384.37769323124485,0.0,0.0,0.7329580555753015,0,417.1414122780173,384.37769323124485,-68.56104993396082,1763.2190410111637,-0.017162351773667508
2025-04-10 17:00:00+00:00,1732.9580555753014,0.0,0.0,0.0,384.37769323124485,0.0,0.0,0.7329580555753015,0,417.1414122780173,384.37769323124485,-68.56104993396082,1763.2190410111637,-0.017162351773667508
2025-04-10 18:00:00+00:00,1732.9580555753014,0.0,0.0,0.0,384.37769323124485,0.0,0.0,0.7329580555753015,0,417.1414122780173,384.37769323124485,-68.56104993396082,1763.2190410111637,-0.017162351773667508
2025-04-10 19:00:00+00:00,1732.9580555753014,0.0,0.0,0.0,384.37769323124485,0.0,0.0,0.7329580555753015,0,417.1414122780173,384.37769323124485,-68.56104993396082,1763.2190410111637,-0.017162351773667508
2025-04-10 20:00:00+00:00,1732.9580555753014,0.0,0.0,0.0,384.37769323124485,0.0,0.0,0.7329580555753015,0,417.1414122780173,384.37769323124485,-68.56104993396082,1763.2190410111637,-0.017162351773667508
2025-04-10 21:00:00+00:00,1732.9580555753014,0.0,0.0,0.0,384.37769323124485,0.0,0.0,0.7329580555753015,0,417.1414122780173,384.37769323124485,-68.56104993396082,1763.2190410111637,-0.017162351773667508
2025-04-10 22:00:00+00:00,1732.9580555753014,0.0,0.0,0.0,384.37769323124485,0.0,0.0,0.7329580555753015,0,417.1414122780173,384.37769323124485,-68.56104993396082,1763.2190410111637,-0.017162351773667508
2025-04-10 23:00:00+00:00,1732.9580555753014,0.0,0.0,0.0,384.37769323124485,0.0,0.0,0.7329580555753015,0,417.1414122780173,384.37769323124485,-68.56104993396082,1763.2190410111637,-0.017162351773667508
2025-04-11 00:00:00+00:00,1732.9580555753014,0.0,0.0,0.0,384.37769323124485,0.0,0.0,0.7329580555753015,0,417.1414122780173,384.37769323124485,-68.56104993396082,1763.2190410111637,-0.017162351773667508
2025-04-11 01:00:00+00:00,1732.9580555753014,0.0,0.0,0.0,384.37769323124485,0.0,0.0,0.7329580555753015,0,417.1414122780173,384.37769323124485,-68.56104993396082,1763.2190410111637,-0.017162351773667508
2025-04-11 02:00:00+00:00,1732.9580555753014,0.0,0.0,0.0,384.37769323124485,0.0,0.0,0.7329580555753015,0,417.1414122780173,384.37769323124485,-68.56104993396082,1763.2190410111637,-0.017162351773667508
2025-04-11 03:00:00+00:00,1732.9580555753014,0.0,0.0,0.0,384.37769323124485,0.0,0.0,0.7329580555753015,0,417.1414122780173,384.37769323124485,-68.56104993396082,1763.2190410111637,-0.017162351773667508
2025-04-11 04:00:00+00:00,1732.9580555753014,0.0,0.0,0.0,384.37769323124485,0.0,0.0,0.7329580555753015,0,417.1414122780173,384.37769323124485,-68.56104993396082,1763.2190410111637,-0.017162351773667508
2025-04-11 05:00:00+00:00,1732.9580555753014,0.0,0.0,0.0,384.37769323124485,0.0,0.0,0.7329580555753015,0,417.1414122780173,384.37769323124485,-68.56104993396082,1763.2190410111637,-0.017162351773667508
2025-04-11 06:00:00+00:00,1732.9580555753014,0.0,0.0,0.0,384.37769323124485,0.0,0.0,0.7329580555753015,0,417.1414122780173,384.37769323124485,-68.56104993396082,1763.2190410111637,-0.017162351773667508
2025-04-11 07:00:00+00:00,1732.9580555753014,0.0,0.0,0.0,384.37769323124485,0.0,0.0,0.7329580555753015,0,417.1414122780173,384.37769323124485,-68.56104993396082,1763.2190410111637,-0.017162351773667508
2025-04-11 08:00:00+00:00,1732.9580555753014,0.0,0.0,0.0,384.37769323124485,0.0,0.0,0.7329580555753015,0,417.1414122780173,384.37769323124485,-68.56104993396082,1763.2190410111637,-0.017162351773667508
2025-04-11 09:00:00+00:00,1732.9580555753014,0.0,0.0,0.0,384.37769323124485,0.0,0.0,0.7329580555753015,0,417.1414122780173,384.37769323124485,-68.56104993396082,1763.2190410111637,-0.017162351773667508
2025-04-11 10:00:00+00:00,1732.9580555753014,0.0,0.0,0.0,384.37769323124485,0.0,0.0,0.7329580555753015,0,417.1414122780173,384.37769323124485,-68.56104993396082,1763.2190410111637,-0.017162351773667508
2025-04-11 11:00:00+00:00,1732.9580555753014,0.0,0.0,0.0,384.37769323124485,0.0,0.0,0.7329580555753015,0,417.1414122780173,384.37769323124485,-68.56104993396082,1763.2190410111637,-0.017162351773667508
2025-04-11 12:00:00+00:00,1732.9580555753014,0.0,0.0,0.0,384.37769323124485,0.0,0.0,0.7329580555753015,0,417.1414122780173,384.37769323124485,-68.56104993396082,1763.2190410111637,-0.017162351773667508
2025-04-11 13:00:00+00:00,1732.9580555753014,0.0,0.0,0.0,384.37769323124485,0.0,0.0,0.7329580555753015,0,417.1414122780173,384.37769323124485,-68.56104993396082,1763.2190410111637,-0.017162351773667508
2025-04-11 14:00:00+00:00,1732.9580555753014,0.0,0.0,0.0,384.37769323124485,0.0,0.0,0.7329580555753015,0,417.1414122780173,384.37769323124485,-68.56104993396082,1763.2190410111637,-0.017162351773667508
2025-04-11 15:00:00+00:00,1732.9580555753014,0.0,0.0,0.0,384.37769323124485,0.0,0.0,0.7329580555753015,0,417.1414122780173,384.37769323124485,-68.56104993396082,1763.2190410111637,-0.017162351773667508
2025-04-11 16:00:00+00:00,1732.9580555753014,0.0,0.0,0.0,384.37769323124485,0.0,0.0,0.7329580555753015,0,417.1414122780173,384.37769323124485,-68.56104993396082,1763.2190410111637,-0.017162351773667508
2025-04-11 17:00:00+00:00,1732.9580555753014,0.0,0.0,0.0,384.37769323124485,0.0,0.0,0.7329580555753015,0,417.1414122780173,384.37769323124485,-68.56104993396082,1763.2190410111637,-0.017162351773667508
2025-04-11 18:00:00+00:00,1732.9580555753014,0.0,0.0,0.0,384.37769323124485,0.0,0.0,0.7329580555753015,0,417.1414122780173,384.37769323124485,-68.56104993396082,1763.2190410111637,-0.017162351773667508
2025-04-11 19:00:00+00:00,1732.9580555753014,0.0,0.0,0.0,384.37769323124485,0.0,0.0,0.7329580555753015,0,417.1414122780173,384.37769323124485,-68.56104993396082,1763.2190410111637,-0.017162351773667508
2025-04-11 20:00:00+00:00,1732.9580555753014,0.0,0.0,0.0,384.37769323124485,0.0,0.0,0.7329580555753015,0,417.1414122780173,384.37769323124485,-68.56104993396082,1763.2190410111637,-0.017162351773667508
2025-04-11 21:00:00+00:00,1732.9580555753014,0.0,0.0,0.0,384.37769323124485,0.0,0.0,0.7329580555753015,0,417.1414122780173,384.37769323124485,-68.56104993396082,1763.2190410111637,-0.017162351773667508
2025-04-11 22:00:00+00:00,1732.9580555753014,0.0,0.0,0.0,384.37769323124485,0.0,0.0,0.7329580555753015,0,417.1414122780173,384.37769323124485,-68.56104993396082,1763.2190410111637,-0.017162351773667508
2025-04-11 23:00:00+00:00,1732.9580555753014,0.0,0.0,0.0,384.37769323124485,0.0,0.0,0.7329580555753015,0,417.1414122780173,384.37769323124485,-68.56104993396082,1763.2190410111637,-0.017162351773667508
2025-04-12 00:00:00+00:00,1732.9580555753014,0.0,0.0,0.0,384.37769323124485,0.0,0.0,0.7329580555753015,0,417.1414122780173,384.37769323124485,-68.56104993396082,1763.2190410111637,-0.017162351773667508
2025-04-12 01:00:00+00:00,1732.9580555753014,0.0,0.0,0.0,384.37769323124485,0.0,0.0,0.7329580555753015,0,417.1414122780173,384.37769323124485,-68.56104993396082,1763.2190410111637,-0.017162351773667508
2025-04-12 02:00:00+00:00,1732.9580555753014,0.0,0.0,0.0,384.37769323124485,0.0,0.0,0.7329580555753015,0,417.1414122780173,384.37769323124485,-68.56104993396082,1763.2190410111637,-0.017162351773667508
2025-04-12 03:00:00+00:00,1732.9580555753014,0.0,0.0,0.0,384.37769323124485,0.0,0.0,0.7329580555753015,0,417.1414122780173,384.37769323124485,-68.56104993396082,1763.2190410111637,-0.017162351773667508
2025-04-12 04:00:00+00:00,1732.9580555753014,0.0,0.0,0.0,384.37769323124485,0.0,0.0,0.7329580555753015,0,417.1414122780173,384.37769323124485,-68.56104993396082,1763.2190410111637,-0.017162351773667508
2025-04-12 05:00:00+00:00,1732.9580555753014,0.0,0.0,0.0,384.37769323124485,0.0,0.0,0.7329580555753015,0,417.1414122780173,384.37769323124485,-68.56104993396082,1763.2190410111637,-0.017162351773667508
2025-04-12 06:00:00+00:00,1732.9580555753014,0.0,0.0,0.0,384.37769323124485,0.0,0.0,0.7329580555753015,0,417.1414122780173,384.37769323124485,-68.56104993396082,1763.2190410111637,-0.017162351773667508
2025-04-12 07:00:00+00:00,1732.9580555753014,0.0,0.0,0.0,384.37769323124485,0.0,0.0,0.7329580555753015,0,417.1414122780173,384.37769323124485,-68.56104993396082,1763.2190410111637,-0.017162351773667508
2025-04-12 08:00:00+00:00,1732.9580555753014,0.0,0.0,0.0,384.37769323124485,0.0,0.0,0.7329580555753015,0,417.1414122780173,384.37769323124485,-68.56104993396082,1763.2190410111637,-0.017162351773667508
2025-04-12 09:00:00+00:00,1732.9580555753014,0.0,0.0,0.0,384.37769323124485,0.0,0.0,0.7329580555753015,0,417.1414122780173,384.37769323124485,-68.56104993396082,1763.2190410111637,-0.017162351773667508
2025-04-12 10:00:00+00:00,1732.9580555753014,0.0,0.0,0.0,384.37769323124485,0.0,0.0,0.7329580555753015,0,417.1414122780173,384.37769323124485,-68.56104993396082,1763.2190410111637,-0.017162351773667508
2025-04-12 11:00:00+00:00,1732.9580555753014,0.0,0.0,0.0,384.37769323124485,0.0,0.0,0.7329580555753015,0,417.1414122780173,384.37769323124485,-68.56104993396082,1763.2190410111637,-0.017162351773667508
2025-04-12 12:00:00+00:00,1732.9580555753014,0.0,0.0,0.0,384.37769323124485,0.0,0.0,0.7329580555753015,0,417.1414122780173,384.37769323124485,-68.56104993396082,1763.2190410111637,-0.017162351773667508
2025-04-12 13:00:00+00:00,1732.9580555753014,0.0,0.0,0.0,384.37769323124485,0.0,0.0,0.7329580555753015,0,417.1414122780173,384.37769323124485,-68.56104993396082,1763.2190410111637,-0.017162351773667508
2025-04-12 14:00:00+00:00,1732.9580555753014,0.0,0.0,0.0,384.37769323124485,0.0,0.0,0.7329580555753015,0,417.1414122780173,384.37769323124485,-68.56104993396082,1763.2190410111637,-0.017162351773667508
2025-04-12 15:00:00+00:00,1732.9580555753014,0.0,0.0,0.0,384.37769323124485,0.0,0.0,0.7329580555753015,0,417.1414122780173,384.37769323124485,-68.56104993396082,1763.2190410111637,-0.017162351773667508
