symbol,fundingRate,fundingRateTimestamp
REZUSDT,0.0001,2024-05-08 08:00:00+0000
REZUSDT,0.0001,2024-05-08 16:00:00+0000
REZUSDT,-0.00015166,2024-05-09 00:00:00+0000
REZUSDT,2.356e-05,2024-05-09 08:00:00+0000
REZUSDT,0.0001,2024-05-09 16:00:00+0000
REZUSDT,0.0001,2024-05-10 00:00:00+0000
REZUSDT,0.0001,2024-05-10 08:00:00+0000
REZUSDT,0.0001,2024-05-10 16:00:00+0000
REZUSDT,0.0001,2024-05-11 00:00:00+0000
REZUSDT,0.0001,2024-05-11 08:00:00+0000
REZUSDT,0.0001,2024-05-11 16:00:00+0000
REZUSDT,0.0001,2024-05-12 00:00:00+0000
REZUSDT,0.0001,2024-05-12 08:00:00+0000
REZUSDT,7.921e-05,2024-05-12 16:00:00+0000
REZUSDT,0.0001,2024-05-13 00:00:00+0000
REZUSDT,0.0001,2024-05-13 08:00:00+0000
REZUSDT,0.0001,2024-05-13 16:00:00+0000
REZUSDT,0.0001,2024-05-14 00:00:00+0000
REZUSDT,0.0001,2024-05-14 08:00:00+0000
REZUSDT,0.0001,2024-05-14 16:00:00+0000
REZUSDT,0.0001,2024-05-15 00:00:00+0000
REZUSDT,0.0001,2024-05-15 08:00:00+0000
REZUSDT,0.0001,2024-05-15 16:00:00+0000
REZUSDT,0.0001,2024-05-16 00:00:00+0000
REZUSDT,0.0001,2024-05-16 08:00:00+0000
REZUSDT,0.0001,2024-05-16 16:00:00+0000
REZUSDT,0.0001,2024-05-17 00:00:00+0000
REZUSDT,0.0001,2024-05-17 08:00:00+0000
REZUSDT,0.0001,2024-05-17 16:00:00+0000
REZUSDT,0.0001,2024-05-18 00:00:00+0000
REZUSDT,0.0001,2024-05-18 08:00:00+0000
REZUSDT,0.0001,2024-05-18 16:00:00+0000
REZUSDT,0.0001,2024-05-19 00:00:00+0000
REZUSDT,0.0001,2024-05-19 08:00:00+0000
REZUSDT,0.0001,2024-05-19 16:00:00+0000
REZUSDT,0.0001,2024-05-20 00:00:00+0000
REZUSDT,0.0001,2024-05-20 08:00:00+0000
REZUSDT,0.0001,2024-05-20 16:00:00+0000
REZUSDT,0.0001,2024-05-21 00:00:00+0000
REZUSDT,0.0001,2024-05-21 08:00:00+0000
REZUSDT,0.0001,2024-05-21 16:00:00+0000
REZUSDT,0.0001,2024-05-22 00:00:00+0000
REZUSDT,0.0001,2024-05-22 08:00:00+0000
REZUSDT,0.0001,2024-05-22 16:00:00+0000
REZUSDT,0.0001,2024-05-23 00:00:00+0000
REZUSDT,0.0001,2024-05-23 08:00:00+0000
REZUSDT,0.0001,2024-05-23 16:00:00+0000
REZUSDT,0.0001,2024-05-24 00:00:00+0000
REZUSDT,0.0001,2024-05-24 08:00:00+0000
REZUSDT,0.0001,2024-05-24 16:00:00+0000
REZUSDT,0.0001,2024-05-25 00:00:00+0000
REZUSDT,0.0001,2024-05-25 08:00:00+0000
REZUSDT,0.0001,2024-05-25 16:00:00+0000
REZUSDT,0.0001,2024-05-26 00:00:00+0000
REZUSDT,0.0001,2024-05-26 08:00:00+0000
REZUSDT,0.0001,2024-05-26 16:00:00+0000
REZUSDT,0.0001,2024-05-27 00:00:00+0000
REZUSDT,0.0001,2024-05-27 08:00:00+0000
REZUSDT,0.0002408,2024-05-27 16:00:00+0000
REZUSDT,0.0001,2024-05-28 00:00:00+0000
REZUSDT,0.0001,2024-05-28 08:00:00+0000
REZUSDT,0.0001,2024-05-28 16:00:00+0000
REZUSDT,0.0001,2024-05-29 00:00:00+0000
REZUSDT,0.0001,2024-05-29 08:00:00+0000
REZUSDT,0.0001,2024-05-29 16:00:00+0000
REZUSDT,0.0001,2024-05-30 00:00:00+0000
REZUSDT,0.0001,2024-05-30 08:00:00+0000
REZUSDT,0.0001,2024-05-30 16:00:00+0000
REZUSDT,0.0001,2024-05-31 00:00:00+0000
REZUSDT,0.0001,2024-05-31 08:00:00+0000
REZUSDT,0.0001,2024-05-31 16:00:00+0000
REZUSDT,0.0001,2024-06-01 00:00:00+0000
REZUSDT,0.0001,2024-06-01 08:00:00+0000
REZUSDT,0.0001,2024-06-01 16:00:00+0000
REZUSDT,0.0001,2024-06-02 00:00:00+0000
REZUSDT,0.0001,2024-06-02 08:00:00+0000
REZUSDT,0.0001,2024-06-02 16:00:00+0000
REZUSDT,0.0001,2024-06-03 00:00:00+0000
REZUSDT,0.00015393,2024-06-03 08:00:00+0000
REZUSDT,0.0001,2024-06-03 16:00:00+0000
REZUSDT,0.0001,2024-06-04 00:00:00+0000
REZUSDT,0.0001,2024-06-04 08:00:00+0000
REZUSDT,0.0001,2024-06-04 16:00:00+0000
