symbol,fundingRate,fundingRateTimestamp
MYRIAUSDT,0.0001,2024-01-01 00:00:00+0000
MYRIAUSDT,0.0001,2024-01-01 08:00:00+0000
MYRIAUSDT,0.0001,2024-01-01 16:00:00+0000
MYRIAUSDT,0.0001,2024-01-02 00:00:00+0000
MYRIAUSDT,0.0001,2024-01-02 08:00:00+0000
MYRIAUSDT,0.0001,2024-01-02 16:00:00+0000
MYRIAUSDT,0.0001,2024-01-03 00:00:00+0000
MYRIAUSDT,0.0001,2024-01-03 08:00:00+0000
MYRIAUSDT,-1.506e-05,2024-01-03 16:00:00+0000
MYRIAUSDT,0.0001,2024-01-04 00:00:00+0000
MYRIAUSDT,0.0001,2024-01-04 08:00:00+0000
MYRIAUSDT,0.0001,2024-01-04 16:00:00+0000
MYRIAUSDT,0.0001,2024-01-05 00:00:00+0000
MYRIAUSDT,0.0001,2024-01-05 08:00:00+0000
MYRIAUSDT,0.0001,2024-01-05 16:00:00+0000
MYRIAUSDT,0.0001,2024-01-06 00:00:00+0000
MYRIAUSDT,0.0001,2024-01-06 08:00:00+0000
MYRIAUSDT,0.0001,2024-01-06 16:00:00+0000
MYRIAUSDT,0.0001,2024-01-07 00:00:00+0000
MYRIAUSDT,0.0001,2024-01-07 08:00:00+0000
MYRIAUSDT,0.0001,2024-01-07 16:00:00+0000
MYRIAUSDT,0.0001,2024-01-08 00:00:00+0000
MYRIAUSDT,0.0001,2024-01-08 08:00:00+0000
MYRIAUSDT,0.0001,2024-01-08 16:00:00+0000
MYRIAUSDT,0.0001,2024-01-09 00:00:00+0000
MYRIAUSDT,0.0001,2024-01-09 08:00:00+0000
MYRIAUSDT,0.0001,2024-01-09 16:00:00+0000
MYRIAUSDT,0.0001,2024-01-10 00:00:00+0000
MYRIAUSDT,0.0001,2024-01-10 08:00:00+0000
MYRIAUSDT,0.0001,2024-01-10 16:00:00+0000
MYRIAUSDT,0.0001,2024-01-11 00:00:00+0000
MYRIAUSDT,0.0001,2024-01-11 08:00:00+0000
MYRIAUSDT,0.0001,2024-01-11 16:00:00+0000
MYRIAUSDT,0.0001,2024-01-12 00:00:00+0000
MYRIAUSDT,0.0001,2024-01-12 08:00:00+0000
MYRIAUSDT,0.0001,2024-01-12 16:00:00+0000
